-836580.20,-1028558.69,597.64
-836197.29,-1028438.67,595.30
-836215.04,-1028506.88,583.34
-836288.63,-1028366.85,614.04
-836280.03,-1028483.74,586.44
-836431.62,-1028463.44,577.87
-836575.30,-1028555.85,597.45
-836539.42,-1028561.71,594.42
-836605.06,-1028409.41,608.56
-836566.48,-1028541.28,597.43
-836178.56,-1028436.93,593.55
-836560.91,-1028491.70,598.26
-836589.82,-1028519.22,601.25
-836416.08,-1028335.94,591.01
-836513.06,-1028380.03,601.51
-836583.17,-1028408.25,607.32
-836599.81,-1028528.21,601.37
-836381.28,-1028517.94,569.89
-836487.50,-1028572.68,589.43
-836156.61,-1028360.90,604.10
-836389.51,-1028618.01,575.72
-836586.53,-1028483.21,600.87
-836200.66,-1028448.63,593.31
-836311.70,-1028346.37,614.16
-836391.99,-1028462.64,577.88
-836361.40,-1028284.04,602.30
-836259.52,-1028570.06,568.92
-836455.76,-1028589.38,584.08
-836542.57,-1028470.51,596.68
-836535.83,-1028331.36,611.56
-836456.55,-1028660.74,577.62
-836495.88,-1028398.31,593.40
-836563.77,-1028391.10,608.39
-836199.62,-1028421.32,598.89
-836330.82,-1028371.24,614.60
-836182.35,-1028520.80,582.28
-836455.92,-1028642.36,579.42
-836462.23,-1028388.05,585.38
-836417.62,-1028346.74,589.81
-836538.55,-1028523.93,595.84
-836529.92,-1028441.33,597.16
-836176.75,-1028420.13,596.37
-836639.32,-1028616.17,595.86
-836239.78,-1028499.71,583.98
-836329.61,-1028316.17,611.02
-836457.75,-1028566.89,585.21
-836171.96,-1028447.22,591.15
-836450.24,-1028654.66,578.02
-836458.68,-1028573.22,585.20
-836554.67,-1028558.45,596.06
-836294.10,-1028545.16,572.03
-836422.70,-1028648.81,577.34
-836392.87,-1028377.30,594.40
-836373.85,-1028488.65,573.91
-836199.00,-1028529.06,582.03
-836194.21,-1028370.36,605.58
-836436.65,-1028365.00,586.14
-836618.04,-1028502.91,604.00
-836401.65,-1028566.00,576.19
-836198.58,-1028474.52,587.66
-836532.22,-1028546.30,594.09
-836531.29,-1028561.74,593.36
-836458.81,-1028381.57,585.65
-836332.46,-1028385.17,610.23
-836601.35,-1028529.11,601.45
-836312.37,-1028459.54,589.92
-836634.46,-1028592.91,597.67
-836215.12,-1028626.90,560.32
-836255.34,-1028614.97,560.03
-836601.79,-1028407.06,608.53
-836239.84,-1028394.74,607.48
-836306.48,-1028467.88,588.46
-836527.37,-1028475.08,594.14
-836589.45,-1028344.38,614.39
-836560.45,-1028399.97,607.27
-836387.07,-1028471.99,577.00
-836527.40,-1028376.29,606.23
-836499.37,-1028568.23,590.02
-836583.19,-1028464.37,601.33
-836403.96,-1028571.39,576.41
-836449.32,-1028439.21,579.24
-836543.90,-1028480.47,596.59
-836410.02,-1028372.07,591.34
-836303.40,-1028636.12,565.70
-836413.35,-1028553.27,578.03
-836432.43,-1028524.99,580.54
-836527.80,-1028594.37,591.41
-836337.84,-1028372.50,611.86
-836508.03,-1028403.14,598.00
-836179.62,-1028462.15,589.03
-836232.36,-1028412.41,603.21
-836328.19,-1028464.23,587.00
-836364.66,-1028443.14,587.80
-836234.40,-1028576.16,568.55
-836579.00,-1028510.98,600.24
-836587.54,-1028432.29,605.46
-836266.85,-1028356.87,613.87
-836255.29,-1028436.29,599.36
-836547.70,-1028561.70,595.50
-836582.29,-1028466.50,601.07
-836319.88,-1028448.47,592.37
-836582.80,-1028330.87,615.54
-836229.38,-1028469.70,590.53
-836259.25,-1028318.25,616.10
-836238.00,-1028347.38,613.32
-836444.97,-1028567.87,583.68
-836343.78,-1028414.26,599.79
-836622.81,-1028543.45,601.24
-836418.96,-1028330.23,590.82
-836620.94,-1028545.89,601.14
-836220.04,-1028508.94,583.06
-836495.25,-1028366.31,597.63
-836336.00,-1028422.54,599.42
-836519.75,-1028369.79,605.73
-836284.59,-1028338.04,614.66
-836219.14,-1028423.12,599.71
-836461.64,-1028348.39,591.30
-836473.09,-1028551.19,586.59
-836602.55,-1028368.74,612.34
-836433.31,-1028311.02,592.19
-836181.41,-1028387.47,601.64
-836228.77,-1028338.81,613.31
-836525.12,-1028511.72,594.29
-836397.39,-1028399.92,590.40
-836462.80,-1028384.07,585.41
-836302.50,-1028397.37,611.52
-836521.51,-1028430.18,597.30
-836515.86,-1028331.95,607.19
-836410.50,-1028327.52,593.35
-836418.52,-1028612.95,578.70
-836285.80,-1028406.24,606.69
-836593.81,-1028427.62,606.25
-836606.68,-1028525.59,602.37
-836619.62,-1028551.68,600.63
-836231.81,-1028442.60,596.36
-836459.90,-1028569.83,585.43
-836460.18,-1028570.99,585.49
-836154.22,-1028407.41,595.06
-836201.73,-1028428.70,597.66
-836395.40,-1028330.64,598.36
-836463.42,-1028558.39,586.08
-836545.93,-1028501.78,596.82
